data_source,claim_type,year_month,claim_count
cms_synthetic,institutional,201501,3
cms_synthetic,institutional,201502,8
cms_synthetic,institutional,201503,2297
cms_synthetic,institutional,201504,3066
cms_synthetic,institutional,201505,3351
cms_synthetic,institutional,201506,3081
cms_synthetic,institutional,201507,3185
cms_synthetic,institutional,201508,3219
cms_synthetic,institutional,201509,3085
cms_synthetic,institutional,201510,3265
cms_synthetic,institutional,201511,3199
cms_synthetic,institutional,201512,3181
cms_synthetic,institutional,201601,3226
cms_synthetic,institutional,201602,3060
cms_synthetic,institutional,201603,3319
cms_synthetic,institutional,201604,3272
cms_synthetic,institutional,201605,3432
cms_synthetic,institutional,201606,3284
cms_synthetic,institutional,201607,3503
cms_synthetic,institutional,201608,3419
cms_synthetic,institutional,201609,3306
cms_synthetic,institutional,201610,3399
cms_synthetic,institutional,201611,3384
cms_synthetic,institutional,201612,3487
cms_synthetic,institutional,201701,3480
cms_synthetic,institutional,201702,3113
cms_synthetic,institutional,201703,3506
cms_synthetic,institutional,201704,3389
cms_synthetic,institutional,201705,3573
cms_synthetic,institutional,201706,3467
cms_synthetic,institutional,201707,3612
cms_synthetic,institutional,201708,3680
cms_synthetic,institutional,201709,3460
cms_synthetic,institutional,201710,3682
cms_synthetic,institutional,201711,3566
cms_synthetic,institutional,201712,3795
cms_synthetic,institutional,201801,3934
cms_synthetic,institutional,201802,3383
cms_synthetic,institutional,201803,3858
cms_synthetic,institutional,201804,3723
cms_synthetic,institutional,201805,3796
cms_synthetic,institutional,201806,3764
cms_synthetic,institutional,201807,3736
cms_synthetic,institutional,201808,3911
cms_synthetic,institutional,201809,3710
cms_synthetic,institutional,201810,3889
cms_synthetic,institutional,201811,3826
cms_synthetic,institutional,201812,4009
cms_synthetic,institutional,201901,4062
cms_synthetic,institutional,201902,3727
cms_synthetic,institutional,201903,4259
cms_synthetic,institutional,201904,4126
cms_synthetic,institutional,201905,4202
cms_synthetic,institutional,201906,4243
cms_synthetic,institutional,201907,4404
cms_synthetic,institutional,201908,4417
cms_synthetic,institutional,201909,4325
cms_synthetic,institutional,201910,4482
cms_synthetic,institutional,201911,4395
cms_synthetic,institutional,201912,4711
cms_synthetic,institutional,202001,4741
cms_synthetic,institutional,202002,4465
cms_synthetic,institutional,202003,4712
cms_synthetic,institutional,202004,4727
cms_synthetic,institutional,202005,4931
cms_synthetic,institutional,202006,4727
cms_synthetic,institutional,202007,5074
cms_synthetic,institutional,202008,5067
cms_synthetic,institutional,202009,4803
cms_synthetic,institutional,202010,5025
cms_synthetic,institutional,202011,4905
cms_synthetic,institutional,202012,5082
cms_synthetic,institutional,202101,5956
cms_synthetic,institutional,202102,6755
cms_synthetic,institutional,202103,8312
cms_synthetic,institutional,202104,7529
cms_synthetic,institutional,202105,6641
cms_synthetic,institutional,202106,5630
cms_synthetic,institutional,202107,5684
cms_synthetic,institutional,202108,5828
cms_synthetic,institutional,202109,5625
cms_synthetic,institutional,202110,5753
cms_synthetic,institutional,202111,5756
cms_synthetic,institutional,202112,5610
cms_synthetic,institutional,202201,5726
cms_synthetic,institutional,202202,5141
cms_synthetic,institutional,202203,5755
cms_synthetic,institutional,202204,5678
cms_synthetic,institutional,202205,5797
cms_synthetic,institutional,202206,5654
cms_synthetic,institutional,202207,5877
cms_synthetic,institutional,202208,6041
cms_synthetic,institutional,202209,5932
cms_synthetic,institutional,202210,6141
cms_synthetic,institutional,202211,5964
cms_synthetic,institutional,202212,6156
cms_synthetic,institutional,202301,6326
cms_synthetic,institutional,202302,5743
cms_synthetic,institutional,202303,374
cms_synthetic,institutional,202304,2
cms_synthetic,institutional,202305,1
cms_synthetic,institutional,202306,1
cms_synthetic,institutional,202307,1
cms_synthetic,institutional,202309,2
cms_synthetic,institutional,202401,2
cms_synthetic,professional,201503,721
cms_synthetic,professional,201504,1034
cms_synthetic,professional,201505,1015
cms_synthetic,professional,201506,1035
cms_synthetic,professional,201507,992
cms_synthetic,professional,201508,1054
cms_synthetic,professional,201509,1012
cms_synthetic,professional,201510,1070
cms_synthetic,professional,201511,1037
cms_synthetic,professional,201512,1057
cms_synthetic,professional,201601,1061
cms_synthetic,professional,201602,1250
cms_synthetic,professional,201603,1165
cms_synthetic,professional,201604,1092
cms_synthetic,professional,201605,1124
cms_synthetic,professional,201606,1061
cms_synthetic,professional,201607,1155
cms_synthetic,professional,201608,1077
cms_synthetic,professional,201609,1083
cms_synthetic,professional,201610,1107
cms_synthetic,professional,201611,1107
cms_synthetic,professional,201612,1154
cms_synthetic,professional,201701,1165
cms_synthetic,professional,201702,1050
cms_synthetic,professional,201703,1484
cms_synthetic,professional,201704,1121
cms_synthetic,professional,201705,1250
cms_synthetic,professional,201706,1154
cms_synthetic,professional,201707,1166
cms_synthetic,professional,201708,1200
cms_synthetic,professional,201709,1207
cms_synthetic,professional,201710,1206
cms_synthetic,professional,201711,1160
cms_synthetic,professional,201712,1234
cms_synthetic,professional,201801,1181
cms_synthetic,professional,201802,1074
cms_synthetic,professional,201803,1608
cms_synthetic,professional,201804,1155
cms_synthetic,professional,201805,1316
cms_synthetic,professional,201806,1244
cms_synthetic,professional,201807,1367
cms_synthetic,professional,201808,1253
cms_synthetic,professional,201809,1279
cms_synthetic,professional,201810,1319
cms_synthetic,professional,201811,1213
cms_synthetic,professional,201812,1318
cms_synthetic,professional,201901,1296
cms_synthetic,professional,201902,1117
cms_synthetic,professional,201903,1670
cms_synthetic,professional,201904,1244
cms_synthetic,professional,201905,1390
cms_synthetic,professional,201906,1322
cms_synthetic,professional,201907,1374
cms_synthetic,professional,201908,1339
cms_synthetic,professional,201909,1299
cms_synthetic,professional,201910,1388
cms_synthetic,professional,201911,1306
cms_synthetic,professional,201912,1378
cms_synthetic,professional,202001,1363
cms_synthetic,professional,202002,1260
cms_synthetic,professional,202003,1734
cms_synthetic,professional,202004,1396
cms_synthetic,professional,202005,1454
cms_synthetic,professional,202006,1425
cms_synthetic,professional,202007,1473
cms_synthetic,professional,202008,1459
cms_synthetic,professional,202009,1436
cms_synthetic,professional,202010,1451
cms_synthetic,professional,202011,1333
cms_synthetic,professional,202012,1456
cms_synthetic,professional,202101,1470
cms_synthetic,professional,202102,1294
cms_synthetic,professional,202103,1854
cms_synthetic,professional,202104,1522
cms_synthetic,professional,202105,1519
cms_synthetic,professional,202106,1470
cms_synthetic,professional,202107,1529
cms_synthetic,professional,202108,1553
cms_synthetic,professional,202109,1526
cms_synthetic,professional,202110,1531
cms_synthetic,professional,202111,1538
cms_synthetic,professional,202112,1570
cms_synthetic,professional,202201,1550
cms_synthetic,professional,202202,1416
cms_synthetic,professional,202203,1733
cms_synthetic,professional,202204,1910
cms_synthetic,professional,202205,1672
cms_synthetic,professional,202206,1671
cms_synthetic,professional,202207,1634
cms_synthetic,professional,202208,1714
cms_synthetic,professional,202209,1667
cms_synthetic,professional,202210,1647
cms_synthetic,professional,202211,1705
cms_synthetic,professional,202212,1654
cms_synthetic,professional,202301,1677
cms_synthetic,professional,202302,1557
cms_synthetic,professional,202303,98
medicare_lds,institutional,202001,823031
medicare_lds,institutional,202002,753935
medicare_lds,institutional,202003,633157
medicare_lds,institutional,202004,429120
medicare_lds,institutional,202005,576051
