DATA_SOURCE,ENCOUNTER_GROUP,ENCOUNTER_TYPE,YEAR_MONTH,CLAIM_COUNT
cms_synthetic,inpatient,acute inpatient,201502,1
cms_synthetic,inpatient,acute inpatient,201503,34
cms_synthetic,inpatient,acute inpatient,201504,31
cms_synthetic,inpatient,acute inpatient,201505,31
cms_synthetic,inpatient,acute inpatient,201506,23
cms_synthetic,inpatient,acute inpatient,201507,22
cms_synthetic,inpatient,acute inpatient,201508,37
cms_synthetic,inpatient,acute inpatient,201509,37
cms_synthetic,inpatient,acute inpatient,201510,46
cms_synthetic,inpatient,acute inpatient,201511,45
cms_synthetic,inpatient,acute inpatient,201512,32
cms_synthetic,inpatient,acute inpatient,201601,28
cms_synthetic,inpatient,acute inpatient,201602,36
cms_synthetic,inpatient,acute inpatient,201603,35
cms_synthetic,inpatient,acute inpatient,201604,26
cms_synthetic,inpatient,acute inpatient,201605,34
cms_synthetic,inpatient,acute inpatient,201606,39
cms_synthetic,inpatient,acute inpatient,201607,41
cms_synthetic,inpatient,acute inpatient,201608,38
cms_synthetic,inpatient,acute inpatient,201609,36
cms_synthetic,inpatient,acute inpatient,201610,31
cms_synthetic,inpatient,acute inpatient,201611,34
cms_synthetic,inpatient,acute inpatient,201612,47
cms_synthetic,inpatient,acute inpatient,201701,39
cms_synthetic,inpatient,acute inpatient,201702,23
cms_synthetic,inpatient,acute inpatient,201703,35
cms_synthetic,inpatient,acute inpatient,201704,27
cms_synthetic,inpatient,acute inpatient,201705,59
cms_synthetic,inpatient,acute inpatient,201706,44
cms_synthetic,inpatient,acute inpatient,201707,27
cms_synthetic,inpatient,acute inpatient,201708,39
cms_synthetic,inpatient,acute inpatient,201709,39
cms_synthetic,inpatient,acute inpatient,201710,37
cms_synthetic,inpatient,acute inpatient,201711,34
cms_synthetic,inpatient,acute inpatient,201712,45
cms_synthetic,inpatient,acute inpatient,201801,28
cms_synthetic,inpatient,acute inpatient,201802,41
cms_synthetic,inpatient,acute inpatient,201803,50
cms_synthetic,inpatient,acute inpatient,201804,45
cms_synthetic,inpatient,acute inpatient,201805,37
cms_synthetic,inpatient,acute inpatient,201806,48
cms_synthetic,inpatient,acute inpatient,201807,55
cms_synthetic,inpatient,acute inpatient,201808,63
cms_synthetic,inpatient,acute inpatient,201809,23
cms_synthetic,inpatient,acute inpatient,201810,37
cms_synthetic,inpatient,acute inpatient,201811,34
cms_synthetic,inpatient,acute inpatient,201812,40
cms_synthetic,inpatient,acute inpatient,201901,24
cms_synthetic,inpatient,acute inpatient,201902,26
cms_synthetic,inpatient,acute inpatient,201903,55
cms_synthetic,inpatient,acute inpatient,201904,32
cms_synthetic,inpatient,acute inpatient,201905,54
cms_synthetic,inpatient,acute inpatient,201906,47
cms_synthetic,inpatient,acute inpatient,201907,52
cms_synthetic,inpatient,acute inpatient,201908,54
cms_synthetic,inpatient,acute inpatient,201909,51
cms_synthetic,inpatient,acute inpatient,201910,36
cms_synthetic,inpatient,acute inpatient,201911,44
cms_synthetic,inpatient,acute inpatient,201912,44
cms_synthetic,inpatient,acute inpatient,202001,58
cms_synthetic,inpatient,acute inpatient,202002,48
cms_synthetic,inpatient,acute inpatient,202003,37
cms_synthetic,inpatient,acute inpatient,202004,55
cms_synthetic,inpatient,acute inpatient,202005,70
cms_synthetic,inpatient,acute inpatient,202006,59
cms_synthetic,inpatient,acute inpatient,202007,74
